name,SiO2,Al2O3,MgO,CaO,FeO,Na2O,K2O,MnO,TiO2,P2O5,total,CO2,H2O
PI116-04-01,50.396534,14.039049,8.013006,11.820401,7.68584,3.17361,0.69351983,0.068151884,2.3247879,0.33191788,99.79888153,0.5395363,0.7125134
PI056-05-01,47.141953,15.636255,7.747265,10.313405,8.85105,3.1013215,1.1631557,0.096884154,3.3809412,0.5899202,99.60366058,0.5507774,1.0307373
PI089-03-01,47.315918,15.88599,7.786538,9.470284,10.096432,3.670953,1.2189631,0.12405054,2.3285065,0.4141686,99.75667572,0.43512398,1.0097398
PI074-05-01,44.747013,17.820232,7.7734184,9.857365,8.809,3.980437,1.3999332,0.17947862,3.1817572,0.99510926,99.55044556,0.44381982,0.3628813
PI052-02-01,47.09338,13.830465,6.9989715,13.397228,8.722,3.9091547,1.1081622,0.10429761,2.1030009,0.673923,99.40007782,0.4003959,1.0590991
PI085-04-02,47.420902,14.457612,6.8847203,13.227569,8.63102,3.0194325,1.3374246,0.13043177,2.5333958,0.7542322,99.57695007,0.27186668,0.9083505
PI052-03-04,47.13383,15.15673,6.8666677,12.72912,7.4185348,3.1624267,1.7752212,0.1357049,2.655795,0.9770753,99.67793274,0.59046096,1.0763592
PI085-04-05,48.6465,14.4789,6.82485,13.6086,8.99367,2.33962,1.15588,0.11479,2.5084,0.427752,100.0117874,0,0.9128232
PI085-01-01,49.94491,14.261299,6.8961864,13.786665,7.54689,3.0630825,0.46656874,0.12244659,2.058841,0.32931334,99.51350403,0.2661554,0.7711412
PI085-01-06,50.2759,14.173976,6.7475214,13.720026,7.176,3.0213525,0.4539495,0.16724455,1.9372494,0.5335898,99.56346893,0.53665936,0.8200101
PI085-03-02,48.73965,14.686103,6.5628214,13.348478,8.07423,3.1819463,0.83651114,0.13099039,2.5473971,0.30539256,99.63538361,0.5438735,0.6779948
PI052-03-02,47.302696,14.993482,6.623505,13.360757,7.526,3.2865872,1.4374415,0.098647945,2.6876533,0.69959515,99.43874359,0.39195007,1.0304272
PI085-03-01,47.564556,14.822348,6.4860883,13.708721,8.635899,3.1258292,0.9855345,0.14223607,2.699698,0.36458313,99.74586487,0.53277254,0.67759997
PI085-01-05,49.11873,14.257548,6.565879,14.016519,7.8382173,2.922546,0.7960793,0.13415761,2.304141,0.26194704,99.73937988,0.6810727,0.842536
PI085-02-01,47.623188,14.968491,6.3937826,13.195312,9.18367,3.07981,0.9526167,0.12373423,2.3670921,0.3681956,99.54769897,0.4217381,0.87006795
PI052-05-01,47.09187,14.683097,6.4948735,12.756634,8.307,3.720727,1.4198706,0.1443081,2.7135978,0.7074124,99.32888794,0.33214122,0.9573555
