name,SiO2,FeO,MgO,NiO,MnO,Al2O3,CaO,total
PI116-04-01,40.0442,12.8994,44.8611,0.245752,0.189603,0.027469,0.300276,98.56780242919922
PI056-05-01,38.5102,15.8102,44.4195,0.182074,0.206634,0.020677,0.254324,99.4036102294922
PI089-03-01,39.1961,16.2043,43.4582,0.183001,0.257994,0.019902,0.257581,99.57707977294922
PI074-05-01,39.969,18.082,41.98,0.084,0.208,0.0,0.0,100.32300567626952
PI052-02-01,40.041,12.581,46.629,0.179,0.177,0.0,0.0,99.60700988769533
PI085-04-02,39.6633,12.7752,46.2507,0.211991,0.187736,0.043376,0.339342,99.47164154052734
PI052-03-04,40.1,11.499,47.433,0.188,0.171,0.0,0.0,99.39099884033205
PI085-04-05,39.9495,12.9208,46.0105,0.208186,0.179429,0.015726,0.343174,99.62731170654295
PI085-01-01,39.4539,11.8405,46.8333,0.189256,0.171242,0.026228,0.325009,98.83943939208984
PI085-01-06,40.501,11.736,46.761,0.204,0.194,0.0,0.0,99.39600372314452
PI085-03-02,39.9299,12.9999,46.3508,0.203844,0.19975,0.049671,0.335043,100.06890869140624
PI052-03-02,39.979,11.567,47.299,0.19,0.214,0.0,0.0,99.2490005493164
PI085-03-01,40.0959,12.807,46.5681,0.196716,0.198198,0.05177,0.316669,100.2343521118164
PI085-01-05,40.0488,11.8422,46.6958,0.206896,0.190988,0.029258,0.330751,99.34469604492188
PI085-02-01,40.183,13.8491,44.7494,0.191854,0.228841,0.033089,0.333374,99.56865692138672
PI052-05-01,40.23,13.863,46.182,0.147,0.194,0.0,0.0,100.61599731445312
PI085-02-05,39.9897,14.4447,44.2011,0.160541,0.258654,0.026566,0.383886,99.46514129638672
PI099-04-01,38.7999,13.4824,46.2307,0.206659,0.189902,0.030523,0.336162,99.2762451171875
PI097-03-02,39.7526,14.5121,44.706398,0.202415,0.23486501,0.038482,0.237294,99.68415832519533
PI099-03-01,40.0426,11.8118,47.569847,0.16876501,0.1948885,0.00779,0.346603,100.1422882080078
PI097-05-04,39.886,14.919,44.909,0.201,0.214,0.0,0.0,100.12899780273438
PI089-01-02,40.702,12.611,47.736,0.24,0.19,0.0,0.0,101.47899627685548
PI114-03-01,40.318,13.91,45.212,0.195,0.157,0.0,0.0,99.79199981689452
