 SiO2, TiO2,Al2O3,Fe2O3,  FeO,  MnO,  MgO,  CaO, Na2O,  K2O, P2O5,Cr2O3,H2O,T_CALC,T_RUN,FO_CALC,FO_Host,FEO*,FEO_Final,OL_PER,MELT_PER,CORR_COEF,SAMP_NO,number
50.491,2.695,15.37,1.401,7.408,0.131,5.379,10.617,3.946,0.737,0.303,0,1.522,1094,1094,82.38,83.13,8.669,10.9,0,100,1,PI032-04-01,1
50.632,2.713,15.473,1.343,7.059,0.132,5.408,10.688,3.972,0.742,0.305,0,1.532,1094,1094,83.13,83.13,8.268,10.9,0.49,99.51,1.007,PI032-04-01,2
49.224,2.458,14.022,1.758,9.331,0.12,7.465,9.686,3.6,0.672,0.276,0,1.389,1208,1208,83.13,83.13,10.912,10.9,-8.7,108.7,0.912,PI032-04-01,3
50.129,2.847,16.226,1.314,7.167,0.131,5.176,10.384,3.826,1.009,0.361,0,1.429,1082,1082,82.48,82.97,8.35,10.9,0,100,1,PI032-04-02,1
50.214,2.859,16.293,1.28,6.949,0.132,5.195,10.427,3.842,1.013,0.362,0,1.434,1082,1082,82.98,82.97,8.101,10.9,0.3,99.7,1.004,PI032-04-02,2
48.781,2.579,14.699,1.716,9.361,0.119,7.337,9.407,3.466,0.914,0.327,0,1.294,1202,1202,82.97,82.97,10.906,10.9,-9.34,109.34,0.906,PI032-04-02,3
49.398,2.824,17.071,1.497,8.787,0.154,4.892,9.249,3.816,1.085,0.565,0,0.66,1082,1082,78.54,77.84,10.134,10.9,0,100,1,PI041-02-02,1
49.271,2.806,16.963,1.551,9.111,0.153,4.866,9.191,3.791,1.079,0.561,0,0.656,1082,1082,77.84,77.84,10.506,10.9,-0.48,100.48,0.994,PI041-02-02,2
49.089,2.772,16.754,1.61,9.454,0.151,5.079,9.078,3.745,1.065,0.555,0,0.648,1096,1096,77.84,77.84,10.903,10.9,-1.59,101.59,0.981,PI041-02-02,3
47.602,3.531,17.635,1.321,6.85,0.102,4.7,12.284,3.747,1.282,0.618,0,0.328,1042,1042,82.41,83.76,8.039,10.9,0,100,1,PI041-03-01,1
47.797,3.568,17.822,1.222,6.286,0.104,4.749,12.414,3.787,1.295,0.625,0,0.332,1042,1042,83.76,83.76,7.385,10.9,0.77,99.23,1.011,PI041-03-01,2
46.318,3.133,15.651,1.777,9.304,0.091,7.52,10.902,3.325,1.138,0.549,0,0.291,1199,1199,83.76,83.76,10.903,10.9,-11.47,111.47,0.888,PI041-03-01,3
46.99,3.657,17.831,1.322,6.737,0.078,4.815,12.5,3.831,1.309,0.581,0,0.349,1046,1046,83.09,83.54,7.927,10.9,0,100,1,PI041-03-03,1
